id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
2,1,0,1,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
2,3,0,1,4,0,0,0,0,0,0,2012,1,111,1,0,0,0
2,4,0,1,4.5,0,0,0,0,0,1,2013,1,111,1,0,0,0
3,1,1,1,2.5,0,1,1,0,0,1,2010,1,111,1,-1,-1,-1
3,4,1,1,1.5,1,1,1,0,1,0,2013,1,111,1,1,1,1
5,1,1,1,2.5,0,0,1,0,0,0,2010,1,111,1,-1,-1,-1
5,2,1,1,2.5,0,1,1,0,0,0,2011,1,111,1,0.4,0.6,0.2
5,4,1,1,2.5,1,1,1,1,0,0,2013,1,111,1,0.285714285714286,0.714285714285714,0.428571428571429
6,3,1,0,3.5,0,1,0,0,0,0,2012,1,111,1,0,0,0
6,4,1,0,4.5,0,1,0,0,0,0,2013,1,111,1,0.4,0.8,0.6
7,1,0,1,4.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
7,2,0,1,3.5,0,0,0,0,0,0,2011,1,111,1,0.25,0.25,0
7,4,0,1,4.5,0,0,0,1,0,0,2013,1,111,1,0,0,0
8,1,1,1,3,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
8,2,1,1,3.33333333333333,0,0,0,0,0,0,2011,1,111,1,0.333333333333333,1,0.333333333333333
8,3,1,1,3.5,0,0,0,0,0,1,2012,1,111,1,0.142857142857143,0.428571428571429,0
8,4,1,1,3.5,0,0,0,0,0,0,2013,1,111,1,0.2,0.8,0.4
9,1,1,0,4.5,1,1,0,0,0,1,2010,1,111,1,-1,-1,-1
9,2,1,0,4.5,1,1,0,0,0,0,2011,1,111,1,0.333333333333333,0.5,0.333333333333333
9,4,1,0,4.5,1,1,1,0,0,0,2013,1,111,1,0.333333333333333,1,0.666666666666667
10,2,1,0,3.33333333333333,0,0,0,0,0,0,2011,1,111,1,0,0,0
10,3,1,0,3.5,0,0,0,0,0,1,2012,1,111,1,0.25,0.5,0.25
10,4,1,0,3.5,0,0,0,0,0,0,2013,1,111,1,0,0.5,0
11,1,1,1,3.5,0,1,0,0,0,0,2010,1,111,0,-1,-1,-1
11,2,1,1,3.5,0,1,1,0,0,1,2011,1,111,1,0,0,0
11,3,1,1,3.5,0,1,1,0,0,0,2012,1,111,1,0,0,0
12,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
12,3,0,1,5,0,0,0,0,0,0,2012,1,111,1,0,0,0
12,4,0,1,5,0,0,0,0,0,0,2013,1,111,1,0,0.2,0
13,3,1,1,3,0,1,1,0,0,1,2012,1,111,0,0,0,0
13,4,1,1,2.5,0,1,1,0,0,0,2013,1,111,0,0.666666666666667,1,0.833333333333333
14,2,1,1,3.5,0,0,0,0,0,0,2011,1,111,1,0,0.666666666666667,0
14,3,1,1,3.5,0,0,0,0,0,0,2012,1,111,1,0,0.75,0
14,4,1,1,4,0,0,0,0,0,0,2013,1,111,1,0,0.6,0.2
15,2,1,1,4.5,0,1,0,0,0,1,2011,1,111,1,0.166666666666667,0.166666666666667,0
15,4,1,1,4.5,0,1,1,0,1,1,2013,1,111,1,0.3,0.7,0.4
17,2,0,0,4.25,0,0,0,0,0,0,2011,1,111,1,0,0,0
17,3,0,0,5,0,0,0,0,0,0,2012,1,111,1,0,0,0
